"feature","group"
"S2_re2_annual_sd","S2_temporal"
"S2_re3_annual_mean","S2_temporal"
"S2_re3_annual_min","S2_temporal"
"S2_re3_annual_max","S2_temporal"
"S2_re3_annual_amplitude","S2_temporal"
"S2_re3_annual_sd","S2_temporal"
"S2_red_annual_mean","S2_temporal"
"S2_red_annual_min","S2_temporal"
"S2_red_annual_max","S2_temporal"
"S2_red_annual_amplitude","S2_temporal"
"S2_red_annual_sd","S2_temporal"
"S2_swir1_annual_mean","S2_temporal"
"S2_swir1_annual_min","S2_temporal"
"S2_swir1_annual_max","S2_temporal"
"S2_swir1_annual_amplitude","S2_temporal"
"S2_swir1_annual_sd","S2_temporal"
"S2_swir2_annual_mean","S2_temporal"
"S2_swir2_annual_min","S2_temporal"
"S2_swir2_annual_max","S2_temporal"
"S2_swir2_annual_amplitude","S2_temporal"
"S2_swir2_annual_sd","S2_temporal"
"S1_ASC_VH_annual_mean","S1_temporal"
"S1_ASC_VH_annual_min","S1_temporal"
"S1_ASC_VH_annual_max","S1_temporal"
"S1_ASC_VH_annual_amplitude","S1_temporal"
"S1_ASC_VH_annual_sd","S1_temporal"
"S1_ASC_VV_annual_mean","S1_temporal"
"S1_ASC_VV_annual_min","S1_temporal"
"S1_ASC_VV_annual_max","S1_temporal"
"S1_ASC_VV_annual_amplitude","S1_temporal"
"S1_ASC_VV_annual_sd","S1_temporal"
"S1_ASC_VV_minus_VH_annual_mean","S1_temporal"
"S1_ASC_VV_minus_VH_annual_min","S1_temporal"
"S1_ASC_VV_minus_VH_annual_max","S1_temporal"
"S1_ASC_VV_minus_VH_annual_amplitude","S1_temporal"
"S1_ASC_VV_minus_VH_annual_sd","S1_temporal"
"S1_DESC_VH_annual_mean","S1_temporal"
"S1_DESC_VH_annual_min","S1_temporal"
"S1_DESC_VH_annual_max","S1_temporal"
"S1_DESC_VH_annual_amplitude","S1_temporal"
"S1_DESC_VH_annual_sd","S1_temporal"
"S1_DESC_VV_annual_mean","S1_temporal"
"S1_DESC_VV_annual_min","S1_temporal"
"S1_DESC_VV_annual_max","S1_temporal"
"S1_DESC_VV_annual_amplitude","S1_temporal"
"S1_DESC_VV_annual_sd","S1_temporal"
"S1_DESC_VV_minus_VH_annual_mean","S1_temporal"
"S1_DESC_VV_minus_VH_annual_min","S1_temporal"
"S1_DESC_VV_minus_VH_annual_max","S1_temporal"
"S1_DESC_VV_minus_VH_annual_amplitude","S1_temporal"
"S1_DESC_VV_minus_VH_annual_sd","S1_temporal"
"DGM200_elevation_m","Terrain"
"DGM200_slope_deg","Terrain"
"DGM200_mean_1km_m","Terrain"
"DGM200_mean_3km_m","Terrain"
"DGM200_TPI_1km_m","Terrain"
"DGM200_TPI_3km_m","Terrain"
"Soil_pH_0_30cm","Soil"
"Soil_pH_30_100cm","Soil"
