"feature","group","is_numeric","missing_share","unique_values","standard_deviation","keep_technical","remove_reason","priority_score"
"S2_m12_swir1","S2_monthly",TRUE,0.116504854368932,261,0.0654868342619049,TRUE,"behalten",-1.11650485436893
"S2_m02_blue","S2_monthly",TRUE,0.132686084142395,244,0.0587492104033249,TRUE,"behalten",-1.13268608414239
"S2_m02_nir","S2_monthly",TRUE,0.132686084142395,263,0.104260852044212,TRUE,"behalten",-1.13268608414239
"S2_m02_re1","S2_monthly",TRUE,0.132686084142395,257,0.0682842924926474,TRUE,"behalten",-1.13268608414239
"S2_m02_swir1","S2_monthly",TRUE,0.132686084142395,256,0.0699417975780564,TRUE,"behalten",-1.13268608414239
"S2_m11_blue","S2_monthly",TRUE,0.216828478964401,219,0.0447831877503966,TRUE,"behalten",-1.2168284789644
"S2_m11_green","S2_monthly",TRUE,0.216828478964401,221,0.0448462553526762,TRUE,"behalten",-1.2168284789644
"S2_m11_nir","S2_monthly",TRUE,0.216828478964401,233,0.0905567364655411,TRUE,"behalten",-1.2168284789644
"S2_m11_re1","S2_monthly",TRUE,0.216828478964401,221,0.0509020210255693,TRUE,"behalten",-1.2168284789644
"S2_m11_red","S2_monthly",TRUE,0.216828478964401,217,0.0496443384453525,TRUE,"behalten",-1.2168284789644
"S2_m11_swir1","S2_monthly",TRUE,0.216828478964401,237,0.0667642608979912,TRUE,"behalten",-1.2168284789644
"S2_EVI_annual_amplitude","S2_temporal",TRUE,0,309,0.219942331663244,TRUE,"behalten",5
"S2_EVI_annual_max","S2_temporal",TRUE,0,309,0.256825890786453,TRUE,"behalten",5
"S2_EVI_annual_mean","S2_temporal",TRUE,0,309,0.16643510060309,TRUE,"behalten",5
"S2_EVI_annual_min","S2_temporal",TRUE,0,309,0.14044631886865,TRUE,"behalten",5
"S2_MNDWI_annual_amplitude","S2_temporal",TRUE,0,309,0.241592906165801,TRUE,"behalten",5
"S2_MNDWI_annual_max","S2_temporal",TRUE,0,309,0.287506386992859,TRUE,"behalten",5
"S2_MNDWI_annual_mean","S2_temporal",TRUE,0,309,0.220970550675355,TRUE,"behalten",5
"S2_MNDWI_annual_min","S2_temporal",TRUE,0,307,0.197844940421249,TRUE,"behalten",5
"S2_NBR_annual_amplitude","S2_temporal",TRUE,0,309,0.215477665463839,TRUE,"behalten",5
"S2_NBR_annual_max","S2_temporal",TRUE,0,309,0.191327209680276,TRUE,"behalten",5
"S2_NBR_annual_mean","S2_temporal",TRUE,0,309,0.173607597421493,TRUE,"behalten",5
"S2_NBR_annual_min","S2_temporal",TRUE,0,308,0.20220280168967,TRUE,"behalten",5
"S2_NBR2_annual_amplitude","S2_temporal",TRUE,0,309,0.100254068291927,TRUE,"behalten",5
"S2_NBR2_annual_max","S2_temporal",TRUE,0,309,0.0906755700979066,TRUE,"behalten",5
"S2_NBR2_annual_mean","S2_temporal",TRUE,0,309,0.0785635057148726,TRUE,"behalten",5
"S2_NBR2_annual_min","S2_temporal",TRUE,0,309,0.0954974057155391,TRUE,"behalten",5
"S2_NDMI_annual_amplitude","S2_temporal",TRUE,0,309,0.187398838339301,TRUE,"behalten",5
"S2_NDMI_annual_min","S2_temporal",TRUE,0,308,0.156832334676565,TRUE,"behalten",5
