system:index,LST_growing_amplitude_C,LST_growing_max_C,LST_growing_mean_C,LST_growing_min_C,LST_spring_amplitude_C,LST_spring_max_C,LST_spring_mean_C,LST_spring_min_C,LST_summer_amplitude_C,LST_summer_max_C,LST_summer_mean_C,LST_summer_min_C,area_m2,cls_bin,cls_det,is_moor,poly_id,.geo
000000000000000000fd,18.82104064855493,31.928133913757254,22.26754179568499,13.10709326520232,13.787112178872842,26.894205444075165,18.92045377826591,13.10709326520232,8.183421508265909,31.928133913757254,28.284341426741356,23.744712405491338,2488.5,Kein_Niedermoor,Hochmoor,0,P0254,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fe,19.122404793897818,33.9779590562044,24.463948243020596,14.855554262306587,17.206572150131386,32.062126412437976,21.420838843474478,14.855554262306587,5.618321724350351,33.9779590562044,30.721046306197103,28.359637331854046,2501.5,Kein_Niedermoor,Hochmoor,0,P0255,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ff,27.248430707583204,35.56320222958033,23.228699883776784,8.314771521997129,23.48876204856729,31.803533570564422,21.071661805063037,8.314771521997129,10.457672094442836,35.56320222958033,29.466711451001455,25.105530135137496,2527.6,Kein_Niedermoor,Hochmoor,0,P0256,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000100,22.739894366255022,31.752530958308732,20.72975848970606,9.012636592053715,18.684383814604033,27.697020406657746,19.813176435107405,9.012636592053715,16.312190763624155,31.752530958308732,24.052140990187937,15.440340194684577,2527.6,Kein_Niedermoor,Hochmoor,0,P0257,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000101,24.019475932105273,31.027553321315818,19.79287392983797,7.008077389210542,20.417657403421046,27.42573479263159,16.753834476679444,7.008077389210542,11.797006197894747,31.027553321315818,25.823368729924834,19.23054712342107,2501.3,Kein_Niedermoor,Hochmoor,0,P0258,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,29.14206815601155,38.337326439248564,24.065468042373002,9.195258283237017,24.444552871560706,33.63981115479773,21.859072599812155,9.195258283237017,14.572347941184962,38.337326439248564,29.24681082846822,23.76497849806361,2530.8,Kein_Niedermoor,Hochmoor,0,P0259,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000103,24.02393438201088,32.92413849377719,22.15875079219925,8.900204111766307,20.134770975733712,29.034975087500023,19.221216590937516,8.900204111766307,8.833617267309776,32.92413849377719,27.48882491680708,24.09052122646741,2496.6,Kein_Niedermoor,Hochmoor,0,P0260,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000104,11.38625936765895,27.116065565953782,21.145220698695322,15.729806198294831,10.500518011473993,27.116065565953782,20.372568951387304,16.61554755447979,2.798498935664748,25.217157882543397,23.536633028988472,22.41865894687865,2555.4,Kein_Niedermoor,Hochmoor,0,P0261,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000105,21.764967087765054,30.04529993120347,19.968687729014345,8.28033284343842,18.088117768108877,26.368450611547292,18.517368579226382,8.28033284343842,11.761563520057317,30.04529993120347,25.50586331640403,18.283736411146158,2540.8,Kein_Niedermoor,Hochmoor,0,P0262,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000106,12.795659169450891,28.191966390317948,19.189627439791515,15.396307220867058,12.076788315693651,28.191966390317948,19.53172574110552,16.1151780746243,8.214445473034674,23.61075269390173,19.503529957384398,15.396307220867058,2570.0,Kein_Niedermoor,Hochmoor,0,P0263,"{""type"":""MultiPoint"",""coordinates"":[]}"
