system:index,JRC_dist_max_extent_m,JRC_max_extent,area_m2,cls_bin,cls_det,is_moor,poly_id,.geo
0000000000000000010d,5000.0,0.0,2527.8,Kein_Niedermoor,Hochmoor,0,P0270,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010e,5000.0,0.0,2478.4,Kein_Niedermoor,Hochmoor,0,P0271,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010f,5000.0,0.0,2462.0,Kein_Niedermoor,Hochmoor,0,P0272,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000110,5000.0,0.0,2494.8,Kein_Niedermoor,Hochmoor,0,P0273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000111,5000.0,0.0,2536.1,Kein_Niedermoor,Hochmoor,0,P0274,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000112,5000.0,0.0,2497.9,Kein_Niedermoor,Hochmoor,0,P0275,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000113,5000.0,0.0,2521.1,Kein_Niedermoor,Hochmoor,0,P0276,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000114,5000.0,0.0,2521.0,Kein_Niedermoor,Hochmoor,0,P0277,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000115,5000.0,0.0,2559.6,Kein_Niedermoor,Hochmoor,0,P0278,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000116,5000.0,0.0,2522.8,Kein_Niedermoor,Hochmoor,0,P0279,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000117,5000.0,0.0,2586.1,Kein_Niedermoor,Hochmoor,0,P0280,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000118,5000.0,0.0,2507.2,Kein_Niedermoor,Hochmoor,0,P0281,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000119,5000.0,0.0,2534.7,Kein_Niedermoor,Hochmoor,0,P0282,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011a,5000.0,0.0,2534.5,Kein_Niedermoor,Hochmoor,0,P0283,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011b,5000.0,0.0,2552.4,Kein_Niedermoor,Hochmoor,0,P0284,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011c,5000.0,0.0,2490.5,Kein_Niedermoor,Hochmoor,0,P0285,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011d,5000.0,0.0,2490.5,Kein_Niedermoor,Hochmoor,0,P0286,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011e,5000.0,0.0,2550.2,Kein_Niedermoor,Hochmoor,0,P0287,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011f,1540.14598540146,0.6919708029197081,2510.2,Kein_Niedermoor,Hochmoor,0,P0288,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000120,5000.0,0.0,2490.5,Kein_Niedermoor,Hochmoor,0,P0289,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000122,5000.0,0.0,2535.1,Kein_Niedermoor,Hochmoor,0,P0291,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000123,5000.0,0.0,2520.2,Kein_Niedermoor,Hochmoor,0,P0292,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000124,5000.0,0.0,2490.4,Kein_Niedermoor,Hochmoor,0,P0293,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000125,2306.5693430656934,0.5386861313868614,2501.7,Kein_Niedermoor,Hochmoor,0,P0294,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000126,5000.0,0.0,2437.5,Kein_Niedermoor,Hochmoor,0,P0295,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000127,5000.0,0.0,2538.0,Kein_Niedermoor,Hochmoor,0,P0296,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000128,5000.0,0.0,2519.0,Kein_Niedermoor,Hochmoor,0,P0297,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000129,5000.0,0.0,2496.2,Kein_Niedermoor,Hochmoor,0,P0298,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012a,5000.0,0.0,2559.8,Kein_Niedermoor,Hochmoor,0,P0299,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012b,5000.0,0.0,2543.9,Kein_Niedermoor,Hochmoor,0,P0300,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012c,5000.0,0.0,2478.4,Kein_Niedermoor,Hochmoor,0,P0301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012d,0.0,1.0,2478.4,Kein_Niedermoor,Hochmoor,0,P0302,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012e,5000.0,0.0,2505.0,Kein_Niedermoor,Hochmoor,0,P0303,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012f,4311.594202898552,0.13768115942028988,2491.7,Kein_Niedermoor,Hochmoor,0,P0304,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000130,5000.0,0.0,2508.4,Kein_Niedermoor,Hochmoor,0,P0305,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000131,5000.0,0.0,2490.9,Kein_Niedermoor,Hochmoor,0,P0306,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000132,5000.0,0.0,2513.5,Kein_Niedermoor,Hochmoor,0,P0307,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000133,5000.0,0.0,2505.0,Kein_Niedermoor,Hochmoor,0,P0308,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000134,5000.0,0.0,2505.0,Kein_Niedermoor,Hochmoor,0,P0309,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,5000.0,0.0,2520.8,Kein_Niedermoor,Urban,0,P0126,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e,5000.0,0.0,2528.7,Kein_Niedermoor,Urban,0,P0127,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080,5000.0,0.0,2528.7,Kein_Niedermoor,Urban,0,P0129,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000082,5000.0,0.0,2505.2,Kein_Niedermoor,Urban,0,P0131,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083,5000.0,0.0,5501.4,Kein_Niedermoor,Urban,0,P0132,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084,5000.0,0.0,2493.6,Kein_Niedermoor,Urban,0,P0133,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000085,5000.0,0.0,2552.3,Kein_Niedermoor,Urban,0,P0134,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b,5000.0,0.0,2552.1,Kein_Niedermoor,Urban,0,P0140,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008c,5000.0,0.0,2493.6,Kein_Niedermoor,Urban,0,P0141,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008d,5000.0,0.0,2517.0,Kein_Niedermoor,Urban,0,P0142,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008e,5000.0,0.0,2517.0,Kein_Niedermoor,Urban,0,P0143,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000090,5000.0,0.0,2552.3,Kein_Niedermoor,Urban,0,P0145,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093,5000.0,0.0,2528.7,Kein_Niedermoor,Urban,0,P0148,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095,5000.0,0.0,2516.9,Kein_Niedermoor,Urban,0,P0150,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096,5000.0,0.0,2517.0,Kein_Niedermoor,Urban,0,P0151,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009b,5000.0,0.0,2517.0,Kein_Niedermoor,Urban,0,P0156,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0,5000.0,0.0,2458.7,Kein_Niedermoor,Urban,0,P0161,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a4,5000.0,0.0,2564.1,Kein_Niedermoor,Urban,0,P0165,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a7,5000.0,0.0,2517.0,Kein_Niedermoor,Urban,0,P0168,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac,5000.0,0.0,2517.0,Kein_Niedermoor,Urban,0,P0173,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b1,5000.0,0.0,2505.3,Kein_Niedermoor,Urban,0,P0178,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b3,5000.0,0.0,2493.5,Kein_Niedermoor,Urban,0,P0180,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6,5000.0,0.0,2481.9,Kein_Niedermoor,Urban,0,P0183,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b9,5000.0,0.0,2438.4,Kein_Niedermoor,Urban,0,P0186,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bd,5000.0,0.0,2534.6,Kein_Niedermoor,Urban,0,P0190,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000be,5000.0,0.0,2508.2,Kein_Niedermoor,Urban,0,P0191,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c5,5000.0,0.0,2506.0,Kein_Niedermoor,Urban,0,P0198,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cc,5000.0,0.0,2525.8,Kein_Niedermoor,Urban,0,P0205,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ce,5000.0,0.0,2512.6,Kein_Niedermoor,Urban,0,P0207,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d2,5000.0,0.0,2499.3,Kein_Niedermoor,Urban,0,P0211,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d6,5000.0,0.0,2539.0,Kein_Niedermoor,Urban,0,P0215,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000db,5000.0,0.0,2486.3,Kein_Niedermoor,Urban,0,P0220,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000dd,5000.0,0.0,2492.8,Kein_Niedermoor,Urban,0,P0222,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e0,5000.0,0.0,2512.6,Kein_Niedermoor,Urban,0,P0225,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e3,5000.0,0.0,2473.1,Kein_Niedermoor,Urban,0,P0228,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e8,5000.0,0.0,2512.4,Kein_Niedermoor,Urban,0,P0233,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000eb,5000.0,0.0,2532.4,Kein_Niedermoor,Urban,0,P0236,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ee,5000.0,0.0,2502.7,Kein_Niedermoor,Urban,0,P0239,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f0,5000.0,0.0,2512.4,Kein_Niedermoor,Urban,0,P0241,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f4,5000.0,0.0,2552.3,Kein_Niedermoor,Urban,0,P0245,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,5000.0,0.0,2502.7,Kein_Niedermoor,Urban,0,P0250,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009a,0.0,1.0,2528.7,Kein_Niedermoor,Water,0,P0155,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009f,0.0,1.0,2528.7,Kein_Niedermoor,Water,0,P0160,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a1,0.0,1.0,2552.3,Kein_Niedermoor,Water,0,P0162,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a5,0.0,1.0,2552.3,Kein_Niedermoor,Water,0,P0166,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a9,167.78523489932883,0.9664429530201342,2505.3,Kein_Niedermoor,Water,0,P0170,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b0,1590.6040268456377,0.6818791946308725,2517.0,Kein_Niedermoor,Water,0,P0177,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b8,0.0,1.0,2516.9,Kein_Niedermoor,Water,0,P0185,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c2,766.4756446991404,0.846704871060172,2539.0,Kein_Niedermoor,Water,0,P0195,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c4,0.0,1.0,2486.3,Kein_Niedermoor,Water,0,P0197,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ca,0.0,1.0,2486.3,Kein_Niedermoor,Water,0,P0203,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d4,2008.6705202312144,0.5982658959537573,2499.4,Kein_Niedermoor,Water,0,P0213,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e2,0.0,1.0,2512.6,Kein_Niedermoor,Water,0,P0227,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e6,1919.7080291970806,0.6160583941605839,2483.0,Kein_Niedermoor,Water,0,P0231,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e7,0.0,1.0,2512.6,Kein_Niedermoor,Water,0,P0232,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ec,0.0,1.0,2512.6,Kein_Niedermoor,Water,0,P0237,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000121,5000.0,0.0,2520.2,Kein_Niedermoor,hochmoor,0,P0290,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000,5000.0,0.0,2518.4,Niedermoor,Niedermoor,1,P0001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,5000.0,0.0,2518.4,Niedermoor,Niedermoor,1,P0002,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,5000.0,0.0,2526.7,Niedermoor,Niedermoor,1,P0003,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,5000.0,0.0,2489.7,Niedermoor,Niedermoor,1,P0004,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,5000.0,0.0,2502.0,Niedermoor,Niedermoor,1,P0005,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,5000.0,0.0,2514.3,Niedermoor,Niedermoor,1,P0006,"{""type"":""MultiPoint"",""coordinates"":[]}"
